N,Layout,Algorithm,Type,Repetition_ID,Run_Type,Perf_IPC,Perf_L1-dcache-load-misses,Perf_branch-misses,Perf_branches,Perf_cycles,Perf_dTLB-load-misses,Perf_instructions,Perf_task-clock,Gprof_Runtime_Mean_s,Gprof_Runtime_s
64000,list,insertion,double,4,Individual,0.35054110200069183,1008832518.0,160976.0,160976.0,41330908445.0,4288.0,14488182193.0,8987959269.0,,8.88267183303833
64000,list,insertion,double,5,Individual,0.3505935139585605,1009618347.0,158070.0,158070.0,41327732223.0,3340.0,14489234864.0,8999498742.0,,8.880267858505249
64000,list,insertion,double,AVG,Mean,0.35055823815119447,1009500618.4,160621.4,160621.4,41322904199.8,5722.6,14486070627.2,9028391045.6,8.925761556625366,
64000,list,bubble,int,1,Individual,1.7022040328143733,2041771766.0,404338214.0,404338214.0,46223097059.0,167818.0,78681142223.0,10259386946.0,,10.206171035766602
64000,list,bubble,int,2,Individual,1.6948362748319699,2041936211.0,404290118.0,404290118.0,46438617877.0,181452.0,78705854131.0,10329699448.0,,10.25142788887024
64000,list,bubble,int,3,Individual,1.7021507052722729,2041710231.0,404117801.0,404117801.0,46227507591.0,179083.0,78686184649.0,10309582647.0,,10.29524302482605
64000,list,bubble,int,4,Individual,1.695150816959978,2041840537.0,404124592.0,404124592.0,46411179459.0,173561.0,78673948776.0,10325379968.0,,10.202186346054077
64000,list,bubble,int,5,Individual,1.7016871076061515,2041351003.0,403933835.0,403933835.0,46233906015.0,170244.0,78675641800.0,10286893302.0,,10.228379964828491
64000,list,bubble,int,AVG,Mean,1.699205787496949,2041721949.6,404160912.0,404160912.0,46306861600.2,174431.6,78684554315.8,10302188462.2,10.236681652069091,
64000,list,bubble,double,1,Individual,1.3809943081073877,2030384365.0,465180409.0,465180409.0,56749530956.0,188657.0,78370779238.0,12632230692.0,,12.468770980834961
64000,list,bubble,double,2,Individual,1.3812457191224403,2030369633.0,464705543.0,464705543.0,56717446451.0,171094.0,78340730110.0,12626741046.0,,12.577656507492065
64000,list,bubble,double,3,Individual,1.3960659651825915,2030836368.0,455495398.0,455495398.0,56131322230.0,169226.0,78363028546.0,12508694256.0,,12.411764144897461
64000,list,bubble,double,4,Individual,1.3814940427049796,2031031821.0,465131351.0,465131351.0,56726677181.0,169931.0,78367566588.0,12599465016.0,,12.585378885269165
64000,list,bubble,double,5,Individual,1.3864731975431948,2030522724.0,463427572.0,463427572.0,56511399944.0,171346.0,78351541378.0,12610469968.0,,12.293187618255615
64000,list,bubble,double,AVG,Mean,1.3852546465321187,2030628982.2,462788054.6,462788054.6,56567275352.4,174050.8,78358729172.0,12595520195.6,12.467351627349853,
64000,list,merge,int,1,Individual,2.0253899081934246,1627128.0,869098.0,869098.0,84938905.0,2485.0,172034401.0,21880273.0,,0.02213907241821289
64000,list,merge,int,2,Individual,1.9728071294793863,2039464.0,877185.0,877185.0,84345233.0,3742.0,166396877.0,21957948.0,,0.021706819534301758
64000,list,merge,int,3,Individual,1.8894087330577376,1738573.0,890766.0,890766.0,87779083.0,3397.0,165850566.0,22027569.0,,0.022783517837524414
64000,list,merge,int,4,Individual,1.9822232325780444,1806197.0,861930.0,861930.0,84823802.0,2848.0,168139711.0,21501602.0,,0.022320985794067383
64000,list,merge,int,5,Individual,2.0414721128679165,1741630.0,851899.0,851899.0,84539170.0,3756.0,172584358.0,22422991.0,,0.022229909896850586
64000,list,merge,int,AVG,Mean,1.982260223235302,1790598.4,870175.6,870175.6,85285238.6,3245.6,169001182.6,21958076.6,0.022236061096191407,
64000,list,merge,double,1,Individual,2.1051003818627363,1661799.0,922249.0,922249.0,110229923.0,3467.0,232045053.0,26502891.0,,0.029232263565063477
64000,list,merge,double,2,Individual,2.214100664122457,1604482.0,930888.0,930888.0,109364168.0,3082.0,242143277.0,27668828.0,,0.028253555297851562
64000,list,merge,double,3,Individual,2.1041595097973618,1666605.0,894601.0,894601.0,110281577.0,3002.0,232050029.0,26482904.0,,0.028645992279052734
64000,list,merge,double,4,Individual,2.2771230146809986,1759279.0,970952.0,970952.0,105596632.0,4636.0,240456521.0,28219772.0,,0.027899503707885742
64000,list,merge,double,5,Individual,2.213871082743338,1684194.0,933791.0,933791.0,105594785.0,4149.0,233773241.0,28439914.0,,0.027622461318969727
64000,list,merge,double,AVG,Mean,2.1828709306413785,1675271.8,930496.2,930496.2,108213417.0,3667.2,236093624.2,27462861.8,0.02833075523376465,
